"no","type","Word","Sub_Type","Type2","Type3","wildcard","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor","at_FPOE","at_Gruene","at_NEOS","at_OEVP","at_PILZ","at_SPOE","de_AfD","de_CDU","de_CSU","de_FDP","de_Gruene","de_Linke","de_Piraten","de_SPD","ch_BDP","ch_CVP","ch_EDU","ch_EVP","ch_FDP","ch_Gruene","ch_Gruenliberale","ch_SP","ch_SVP","at_mean","de_mean","ch_mean","at_FPOE_meandv","at_Gruene_meandv","at_NEOS_meandv","at_OEVP_meandv","at_PILZ_meandv","at_SPOE_meandv","de_AfD_meandv","de_CDU_meandv","de_CSU_meandv","de_FDP_meandv","de_Gruene_meandv","de_Linke_meandv","de_Piraten_meandv","de_SPD_meandv","ch_BDP_meandv","ch_CVP_meandv","ch_EDU_meandv","ch_EVP_meandv","ch_FDP_meandv","ch_Gruene_meandv","ch_Gruenliberale_meandv","ch_SP_meandv","ch_SVP_meandv"
8177,,"niederträchtig(e|er|es|en|em) politiker(s|n|innen|in)?","verabscheuenswerte eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","niederträchtigeeresenempolitikersninnenin",TRUE,FALSE,FALSE,2019-04-11,0,1.45,4,"niederträchtig(e|er|es|en|em) politiker(s|n|innen|in)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8178,,"niederträchtig(e|es|en|em) ([^[:space:]]*)establishment(s)?","verabscheuenswerte eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","niederträchtigeesenem[^[:space:]]establishments",TRUE,FALSE,FALSE,2019-04-11,0,1.47,4,"niederträchtig(e|es|en|em) ([^[:space:]]*)establishment(s)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8179,,"niederträchtig(e|es|en|em) system(s)?","verabscheuenswerte eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","niederträchtigeesenemsystems",TRUE,FALSE,FALSE,2019-04-11,0,1.46,4,"niederträchtig(e|es|en|em) system(s)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8180,,"(nimmt|nehmen) ([^[:space:]]*)elite(n)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmen[^[:space:]]elitensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) ([^[:space:]]*)elite(n)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8181,,"(nimmt|nehmen) ([^[:space:]]*)establishment sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmen[^[:space:]]establishmentsichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.49,4,"(nimmt|nehmen) ([^[:space:]]*)establishment sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8182,,"(nimmt|nehmen) ([^[:space:]]*)kapitalist(en|in|innen)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmen[^[:space:]]kapitalistenininnensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.56,4,"(nimmt|nehmen) ([^[:space:]]*)kapitalist(en|in|innen)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8183,,"(nimmt|nehmen) ([^[:space:]]*)konzern(e)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmen[^[:space:]]konzernesichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.54,4,"(nimmt|nehmen) ([^[:space:]]*)konzern(e)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8184,,"(nimmt|nehmen) (.* )?([^[:space:]]*)regierung(en)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmen[^[:space:]]regierungensichheraus",TRUE,FALSE,FALSE,2020-03-13,0,1.61,4,"(nimmt|nehmen) (.* )?([^[:space:]]*)regierung(en)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8185,,"(nimmt|nehmen) (.* )?bürokrat(en|in|innen)? sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenbürokratenininnensichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.55,4,"(nimmt|nehmen) (.* )?bürokrat(en|in|innen)? sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8186,,"(nimmt|nehmen) (.* )?bürokratie sich (.* )?heraus","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",0,0,1,0,0,"never appeared term","nimmtnehmenbürokratiesichheraus",TRUE,FALSE,FALSE,2019-04-11,0,1.52,4,"(nimmt|nehmen) (.* )?bürokratie sich (.* )?heraus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
