version	doi	v1	v2	v3	v4	v5	v6
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	56	"ablehnend"	1.2222222	0.9718253	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	57	"ablehnung"	1.7444445	1.3030742	3	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	58	"ablenken"	2.6766918	0.88376665	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	59	"ablenkung"	2.8	0.6324555	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	60	"ablenkungsman��ver"	2.72549	0.9027665	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	61	"abl��sekandidat"	2.909091	1.1361818	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	62	"abmahnen"	2.3	1.2516656	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	63	"abmontieren"	2.7317073	0.8373885	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	64	"abnahme"	0.9	1.2866839	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	65	"abnorm"	1.9090909	1.4459976	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	66	"abqualifizieren"	2.6666667	0.79582244	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	67	"abrechnen"	0.9183673	1.1696997	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	68	"abrechnung"	1.025974	1.0999285	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	69	"abrei��en"	2.0	0.94280905	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	70	"abringen"	2.4	0.6992059	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	71	"abri��"	0.09090909	0.30151135	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	72	"abrupt"	2.1818182	1.2504544	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	73	"absage"	1.641791	1.4374318	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	74	"absagen"	1.8571428	1.2924124	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	75	"absandelt"	2.4	1.3498971	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	76	"absaufen"	2.7	1.0593499	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	77	"abschaffen"	1.8172588	1.3159565	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	78	"abschaffung"	2.1333334	1.2414538	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	79	"abschaltung"	2.6	0.6992059	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	80	"abscheu"	2.8421052	0.7647191	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	81	"abscheulich"	2.8536584	0.7924953	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	82	"abscheulichkeit"	3.2	0.6324555	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	83	"abschiebeaktion"	2.1111112	0.92796075	2	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	84	"abschieben"	1.9583334	1.2037208	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	85	"abschiebung"	2.0810812	1.037582	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	86	"abschied"	1.7741935	1.4539527	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	87	"abschie��en"	1.1818181	1.4709305	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	88	"abschlachten"	3.1	1.197219	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	89	"abschleifen"	1.3333334	1.2685406	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	90	"abschlussveranstaltung"	0.25	0.68313	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	91	"abschl��gig"	2.1	0.99442893	3	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	92	"abschminken"	3.1	1.197219	4	4
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	93	"abschneiden"	1.7857143	1.6410733	0	0
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	94	"abschrecken"	1.7826087	1.2776585	3	2
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	95	"abschreckend"	2.0	1.405347	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	96	"abschreckung"	2.2051282	1.151189	3	3
"1.0 (2020-11-30)"	"doi:10.11587/7PFLIU"	97	"abschreckungsma��nahme"	1.6	1.264911	2	2
